session_id,candidate_name,event_type,timestamp
S008,Shannon Morrow,face_detected,2026-09-14 18:08:47
S008,Shannon Morrow,face_absent,2026-09-14 17:20:13
S008,Shannon Morrow,tab_switched,2026-09-15 04:42:27
S008,Shannon Morrow,face_detected,2026-09-14 21:20:49
S008,Shannon Morrow,tab_switched,2026-09-15 02:17:38
S008,Shannon Morrow,question_answered,2026-09-15 12:30:54
S008,Shannon Morrow,face_absent,2026-09-15 06:08:22
S008,Shannon Morrow,face_absent,2026-09-15 09:29:01
S008,Shannon Morrow,question_answered,2026-09-15 12:44:45
S008,Shannon Morrow,focus_loss,2026-09-14 17:47:31
S009,Jeffrey Oliver,question_answered,2026-09-15 09:47:35
S009,Jeffrey Oliver,focus_loss,2026-09-15 07:47:44
S009,Jeffrey Oliver,face_absent,2026-09-15 06:10:18
S009,Jeffrey Oliver,face_detected,2026-09-15 16:23:13
S009,Jeffrey Oliver,face_detected,2026-09-15 00:40:06
S009,Jeffrey Oliver,face_absent,2026-09-15 04:04:29
S009,Jeffrey Oliver,question_answered,2026-09-14 23:27:07
S009,Jeffrey Oliver,face_absent,2026-09-14 17:28:20
S009,Jeffrey Oliver,question_answered,2026-09-14 17:07:37
S009,Jeffrey Oliver,question_answered,2026-09-15 03:08:05
S010,Tim Knight,face_detected,2026-09-15 00:23:41
S010,Tim Knight,focus_loss,2026-09-14 21:38:07
S010,Tim Knight,face_detected,2026-09-15 03:43:31
S010,Tim Knight,face_absent,2026-09-15 08:33:36
S010,Tim Knight,face_detected,2026-09-14 18:28:04
S010,Tim Knight,tab_switched,2026-09-15 07:51:09
S010,Tim Knight,face_detected,2026-09-15 04:40:36
S010,Tim Knight,question_answered,2026-09-15 14:17:49
S010,Tim Knight,face_absent,2026-09-15 11:22:25
S010,Tim Knight,question_answered,2026-09-15 11:38:37
